Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1
367	9	Si4b2	B4b1	312	313	3	16	375	99	96	er
368	9	La4	A4	305	305	1	16	125	95	96	
369	9	Sol4	G4	296	296	1	4	500	95	96	ken 
370	9	Re5	D5	327	327	5	8	1250	100	96	gel  
371	9	Re5	D5	327	327	2	8	500	95	96	
372	9	Do5	C5	318	318	1	8	250	95	96	Sa
373	9	Do5	C5	318	318	1	8	250	95	96	kın 
374	9	Si4b2	B4b1	312	313	1	8	250	99	96	geç 
375	9	La4	A4	305	305	1	8	250	95	96	
376	9	La4	A4	305	305	1	8	250	99	96	kal
377	9	Si4b2	B4b1	312	313	1	8	250	95	96	
378	9	Do5	C5	318	318	1	8	250	95	96	ma 
379	9	Si4b2	B4b1	312	313	3	16	375	99	96	er
380	9	La4	A4	305	305	1	16	125	95	96	
381	9	Sol4	G4	296	296	1	8	250	99	96	ken 
382	9	Si4b2	B4b1	312	313	1	16	125	99	96	
383	9	La4	A4	305	305	1	16	125	95	96	
384	9	La4	A4	305	305	5	8	1250	95	96	gel  
